,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance,normalized_attendance2
47,2017,2,8/8/2017,3,0,2,0,6,11,0,4,2,366,2,169,4,2,2017,8,8,0.461748634,1
48,2017,5,8/31/2017,2,2,2,0,5,28,0,2,2,271,1,72,3,1,2017,8,31,0.265682657,0
49,2017,2,8/10/2017,2,2,2,0,2,16,0,4,2,452,1,202,5,2,2017,8,10,0.446902655,1
50,2017,2,8/9/2017,4,1,2,0,5,28,0,2,2,385,1,115,4,2,2017,8,9,0.298701299,0
51,2017,1,8/3/2017,2,2,2,0,2,16,0,4,2,452,1,228,5,2,2017,8,3,0.504424779,1
52,2017,9,10/5/2017,2,2,2,0,2,16,0,4,2,409,1,62,3,1,2017,10,5,0.151589242,0
53,2017,3,8/17/2017,2,0,2,0,5,8,0,4,2,447,1,142,4,2,2017,8,17,0.317673378,1
54,2017,10,10/9/2017,1,1,2,0,2,17,0,4,0,320,1,99,3,1,2017,10,9,0.309375,1
55,2017,3,8/18/2017,0,0,2,0,5,15,0,4,2,386,1,107,4,2,2017,8,18,0.277202073,0
56,2017,1,8/3/2017,2,0,2,0,5,8,0,4,2,447,1,183,4,2,2017,8,3,0.409395973,1
57,2017,10,10/9/2017,1,0,2,0,2,17,0,4,2,424,2,143,4,2,2017,10,9,0.337264151,1
58,2017,11,10/19/2017,2,0,2,0,0,29,0,4,2,354,2,97,3,1,2017,10,19,0.274011299,0
59,2017,11,10/17/2017,3,1,2,0,2,16,0,4,2,459,2,104,4,2,2017,10,17,0.226579521,0
60,2017,9,10/5/2017,2,1,2,0,6,7,1,2,2,304,1,56,3,1,2017,10,5,0.184210526,0
61,2017,9,10/5/2017,2,0,2,0,5,8,0,4,2,447,1,101,4,2,2017,10,5,0.225950783,0
62,2017,11,10/17/2017,3,2,2,0,2,16,0,4,2,452,2,63,3,1,2017,10,17,0.139380531,0
63,2017,4,8/23/2017,4,0,2,0,2,16,0,4,2,457,1,135,4,2,2017,8,23,0.295404814,0
64,2017,2,8/9/2017,4,0,2,0,5,28,0,4,2,403,1,145,4,2,2017,8,9,0.359801489,1
65,2017,1,8/3/2017,2,1,2,0,6,7,1,2,2,304,1,104,4,2,2017,8,3,0.342105263,1
66,2017,8,9/21/2017,2,2,2,0,2,16,0,4,2,409,1,71,3,1,2017,9,21,0.173594132,0
67,2017,5,9/1/2017,0,2,2,0,5,8,0,4,2,291,2,84,3,1,2017,9,1,0.288659794,0
68,2017,1,8/3/2017,2,2,2,0,5,28,0,2,2,271,1,108,4,2,2017,8,3,0.398523985,1
69,2017,3,8/17/2017,2,2,2,0,2,16,0,4,2,452,1,112,4,2,2017,8,17,0.247787611,0
70,2017,6,9/4/2017,1,1,2,0,2,17,0,4,0,320,1,158,4,2,2017,9,4,0.49375,1
71,2017,6,9/4/2017,1,1,2,0,2,16,1,4,2,447,2,48,2,1,2017,9,4,0.10738255,0
72,2017,11,10/19/2017,2,0,2,0,5,15,0,4,2,419,1,71,3,1,2017,10,19,0.169451074,0
